price,date
106074.10723541168,2024-12-17
106034.913402645,2024-12-18
100355.5761481501,2024-12-19
97851.35377075805,2024-12-20
97691.43431692653,2024-12-21
97202.82496847633,2024-12-22
95094.27394862173,2024-12-23
94644.91085464321,2024-12-24
98695.71400782601,2024-12-25
99344.95417367229,2024-12-26
95678.31244565405,2024-12-27
94331.94727053077,2024-12-28
95184.61945288602,2024-12-29
93663.44751964067,2024-12-30
92627.28213113277,2024-12-31
93507.85874741491,2025-01-01
94384.1761153871,2025-01-02
96852.14681235075,2025-01-03
98084.34279280754,2025-01-04
98256.73876849933,2025-01-05
98364.58946599838,2025-01-06
102229.39453189743,2025-01-07
96952.09886774956,2025-01-08
95016.71440989176,2025-01-09
92376.27578346101,2025-01-10
94736.6267420969,2025-01-11
94559.55167224213,2025-01-12
94454.77089638807,2025-01-13
94456.3493746993,2025-01-14
96574.07768799194,2025-01-15
100313.15239828422,2025-01-16
100044.57926776377,2025-01-17
104160.69358484233,2025-01-18
104334.61575724394,2025-01-19
101275.33714814208,2025-01-20
101764.90860170545,2025-01-21
106182.2368201815,2025-01-22
103673.53509537787,2025-01-23
104067.60991206947,2025-01-24
104835.19253555956,2025-01-25
104796.04077738234,2025-01-26
102552.24874280207,2025-01-27
101958.46953745594,2025-01-28
101313.11264498268,2025-01-29
103718.97939813645,2025-01-30
104781.5135100103,2025-01-31
102382.39409722165,2025-02-01
100674.78762544956,2025-02-02
97568.31653024875,2025-02-03
101466.8606657039,2025-02-04
98118.43921664466,2025-02-05
96582.88682919052,2025-02-06
96635.41875332211,2025-02-07
96558.4563096667,2025-02-08
96558.23762501091,2025-02-09
96548.57865379585,2025-02-10
97399.98161383197,2025-02-11
95739.97737079239,2025-02-12
97836.18856127483,2025-02-13
96561.6639990985,2025-02-14
97488.48148536457,2025-02-15
97569.95169430465,2025-02-16
96149.3484548204,2025-02-17
95776.15723852723,2025-02-18
95495.89153299287,2025-02-19
96554.87156259285,2025-02-20
98384.31738240314,2025-02-21
96135.15541305285,2025-02-22
96564.15414290235,2025-02-23
96327.46309127835,2025-02-24
91396.76686930266,2025-02-25
88755.7693356979,2025-02-26
83900.11496524839,2025-02-27
84709.14477847965,2025-02-28
84441.9012237131,2025-03-01
86005.25629681018,2025-03-02
94261.53286538439,2025-03-03
86124.71418722175,2025-03-04
87310.80531078295,2025-03-05
90604.08098523637,2025-03-06
90001.40087607042,2025-03-07
86773.33597555371,2025-03-08
86142.9833586432,2025-03-09
80751.13893300897,2025-03-10
78783.94057934263,2025-03-11
82799.1080292053,2025-03-12
83884.24578828987,2025-03-13
81098.90052436228,2025-03-14
83971.70916064628,2025-03-15
84391.69087647168,2025-03-16
83253.18403785568,2025-03-16
